01.01.2023,Day-ahead Price,Currency,Year,Month,Day,Hour
00:00 - 01:00,-1.46,EUR,2023,1,1,1
01:00 - 02:00,-1.52,EUR,2023,1,1,2
02:00 - 03:00,-5,EUR,2023,1,1,3
03:00 - 04:00,-4.6,EUR,2023,1,1,4
04:00 - 05:00,-4.05,EUR,2023,1,1,5
05:00 - 06:00,-3.6,EUR,2023,1,1,6
06:00 - 07:00,0,EUR,2023,1,1,7
07:00 - 08:00,0,EUR,2023,1,1,8
08:00 - 09:00,0,EUR,2023,1,1,9
09:00 - 10:00,0.99,EUR,2023,1,1,10
10:00 - 11:00,0.58,EUR,2023,1,1,11
11:00 - 12:00,0.04,EUR,2023,1,1,12
12:00 - 13:00,0,EUR,2023,1,1,13
13:00 - 14:00,0.85,EUR,2023,1,1,14
14:00 - 15:00,23.53,EUR,2023,1,1,15
15:00 - 16:00,36.54,EUR,2023,1,1,16
16:00 - 17:00,46.03,EUR,2023,1,1,17
17:00 - 18:00,99.9,EUR,2023,1,1,18
18:00 - 19:00,54.95,EUR,2023,1,1,19
19:00 - 20:00,62,EUR,2023,1,1,20
20:00 - 21:00,52.93,EUR,2023,1,1,21
21:00 - 22:00,45.96,EUR,2023,1,1,22
22:00 - 23:00,35,EUR,2023,1,1,23
23:00 - 00:00,109.9,EUR,2023,1,1,24
00:00 - 01:00,94.9,EUR,2023,1,2,1
01:00 - 02:00,52.93,EUR,2023,1,2,2
02:00 - 03:00,44.16,EUR,2023,1,2,3
03:00 - 04:00,50.08,EUR,2023,1,2,4
04:00 - 05:00,77.09,EUR,2023,1,2,5
05:00 - 06:00,105.08,EUR,2023,1,2,6
06:00 - 07:00,140.64,EUR,2023,1,2,7
07:00 - 08:00,162.44,EUR,2023,1,2,8
08:00 - 09:00,180,EUR,2023,1,2,9
09:00 - 10:00,145.61,EUR,2023,1,2,10
10:00 - 11:00,143.35,EUR,2023,1,2,11
11:00 - 12:00,144.38,EUR,2023,1,2,12
12:00 - 13:00,143.76,EUR,2023,1,2,13
13:00 - 14:00,148.2,EUR,2023,1,2,14
14:00 - 15:00,155.34,EUR,2023,1,2,15
15:00 - 16:00,164,EUR,2023,1,2,16
16:00 - 17:00,185.68,EUR,2023,1,2,17
17:00 - 18:00,174.74,EUR,2023,1,2,18
18:00 - 19:00,169.9,EUR,2023,1,2,19
19:00 - 20:00,153,EUR,2023,1,2,20
20:00 - 21:00,141.67,EUR,2023,1,2,21
21:00 - 22:00,134.91,EUR,2023,1,2,22
