# STN,YYYYMMDD,YYYY,MM,Day,   HH,   DD,   FH,   FF,   FX,    T, T10N,   TD,   SQ,    Q,   DR,   RH,    P,   VV,    N,    U,   WW,   IX,    M,    R,    S,    O,    Y,APX
260,20230101,2023,1,1,1,220,80,100,160,155,     ,75,0,0,0,0,10065,81,8,58,     ,5,0,0,0,0,0,-1.46
260,20230101,2023,1,1,2,220,90,70,190,150,     ,75,0,0,0,-1,10070,83,8,61,23,7,0,1,0,0,0,-1.52
260,20230101,2023,1,1,3,220,80,80,170,149,     ,74,0,0,0,0,10074,83,8,60,2,7,0,0,0,0,0,-5
260,20230101,2023,1,1,4,230,80,70,140,139,     ,82,0,0,2,1,10083,80,8,68,81,7,0,1,0,0,0,-4.6
260,20230101,2023,1,1,5,230,80,70,170,131,     ,84,0,0,0,-1,10092,75,8,73,23,7,0,1,0,0,0,-4.05
260,20230101,2023,1,1,6,230,70,70,130,129,122,70,0,0,0,0,10099,80,8,67,2,7,0,0,0,0,0,-3.6
260,20230101,2023,1,1,7,220,70,60,120,125,     ,60,0,0,0,0,10108,83,8,64,     ,5,0,0,0,0,0,0
260,20230101,2023,1,1,8,220,60,50,130,116,     ,63,0,1,0,0,10123,80,8,69,     ,5,0,0,0,0,0,0
260,20230101,2023,1,1,9,210,50,50,100,115,     ,64,0,8,0,0,10131,75,8,71,     ,5,0,0,0,0,0,0
260,20230101,2023,1,1,10,200,50,50,90,120,     ,70,5,34,0,0,10135,75,8,71,     ,5,0,0,0,0,0,0.99
260,20230101,2023,1,1,11,220,60,70,110,128,     ,80,3,46,0,0,10136,75,8,72,     ,5,0,0,0,0,0,0.58
260,20230101,2023,1,1,12,210,60,50,120,123,107,87,0,35,0,0,10139,75,8,78,     ,5,0,0,0,0,0,0.04
260,20230101,2023,1,1,13,230,60,60,100,129,     ,80,0,37,0,0,10140,75,8,72,     ,5,0,0,0,0,0,0
260,20230101,2023,1,1,14,220,50,40,110,125,     ,82,0,22,0,0,10140,75,8,74,     ,5,0,0,0,0,0,0.85
260,20230101,2023,1,1,15,200,40,30,80,123,     ,84,0,11,0,0,10137,75,8,76,     ,5,0,0,0,0,0,23.53
260,20230101,2023,1,1,16,180,30,40,60,122,     ,84,0,2,0,0,10141,75,8,77,     ,5,0,0,0,0,0,36.54
260,20230101,2023,1,1,17,180,40,40,60,121,     ,86,0,0,0,0,10135,75,8,78,     ,5,0,0,0,0,0,46.03
260,20230101,2023,1,1,18,180,40,40,70,115,109,87,0,0,6,4,10132,65,8,83,81,7,0,1,0,0,0,99.9
260,20230101,2023,1,1,19,150,30,40,60,107,     ,96,0,0,10,11,10125,61,8,93,61,7,0,1,0,0,0,54.95
260,20230101,2023,1,1,20,160,30,30,60,106,     ,98,0,0,10,16,10121,59,8,94,62,7,0,1,0,0,0,62
260,20230101,2023,1,1,21,160,30,30,60,105,     ,100,0,0,10,15,10112,59,8,96,52,7,0,1,0,0,0,52.93
260,20230101,2023,1,1,22,170,40,30,80,106,     ,100,0,0,10,14,10103,59,8,96,81,7,0,1,0,0,0,45.96
260,20230101,2023,1,1,23,180,30,40,80,113,     ,99,0,0,0,-1,10097,65,8,91,23,7,0,1,0,0,0,35
260,20230101,2023,1,1,24,190,40,40,70,114,102,101,0,0,0,-1,10092,65,8,92,23,7,0,1,0,0,0,109.9
260,20230102,2023,1,2,1,180,40,30,70,114,     ,101,0,0,0,0,10086,65,8,91,     ,5,0,0,0,0,0,94.9
260,20230102,2023,1,2,2,180,40,40,70,119,     ,103,0,0,3,1,10083,70,8,90,23,7,0,1,0,0,0,52.93
260,20230102,2023,1,2,3,200,40,40,80,122,     ,105,0,0,3,1,10082,70,8,89,23,7,0,1,0,0,0,44.16
260,20230102,2023,1,2,4,210,50,60,100,127,     ,108,0,0,0,-1,10083,70,8,88,51,7,0,1,0,0,0,50.08
260,20230102,2023,1,2,5,210,60,60,110,124,     ,110,0,0,0,-1,10084,63,8,91,81,7,0,1,0,0,0,77.09
260,20230102,2023,1,2,6,280,60,50,120,99,97,89,0,0,8,21,10100,58,8,94,62,7,0,1,0,0,0,105.08
260,20230102,2023,1,2,7,270,40,40,90,93,     ,83,0,0,4,1,10116,65,8,93,23,7,0,1,0,0,0,140.64
260,20230102,2023,1,2,8,260,30,30,70,89,     ,78,0,1,0,0,10132,65,8,92,     ,5,0,0,0,0,0,162.44
260,20230102,2023,1,2,9,250,40,40,70,91,     ,74,0,4,0,0,10144,70,8,89,2,7,0,0,0,0,0,180
260,20230102,2023,1,2,10,250,40,30,80,90,     ,71,0,16,0,0,10152,70,8,87,     ,5,0,0,0,0,0,145.61
260,20230102,2023,1,2,11,230,30,40,70,93,     ,73,0,38,0,0,10155,70,8,87,     ,5,0,0,0,0,0,143.35
260,20230102,2023,1,2,12,230,40,40,80,97,87,73,0,44,0,0,10160,70,8,85,2,7,0,0,0,0,0,144.38
260,20230102,2023,1,2,13,230,40,40,80,97,     ,75,0,23,0,0,10165,70,8,86,     ,5,0,0,0,0,0,143.76
260,20230102,2023,1,2,14,230,40,40,90,91,     ,79,0,11,8,12,10168,65,8,91,81,7,0,1,0,0,0,148.2
260,20230102,2023,1,2,15,240,40,30,80,92,     ,75,3,11,0,-1,10179,70,8,89,81,7,0,1,0,0,0,155.34
260,20230102,2023,1,2,16,250,40,30,80,89,     ,66,0,1,2,2,10190,70,8,85,23,7,0,1,0,0,0,164
260,20230102,2023,1,2,17,270,30,20,70,85,     ,66,0,0,0,0,10200,70,8,87,     ,5,0,0,0,0,0,185.68
260,20230102,2023,1,2,18,250,30,20,60,71,59,55,0,0,0,0,10207,70,1,89,1,7,0,0,0,0,0,174.74
260,20230102,2023,1,2,19,260,30,20,50,69,     ,50,0,0,0,0,10218,70,1,87,     ,5,0,0,0,0,0,169.9
260,20230102,2023,1,2,20,240,20,20,40,57,     ,47,0,0,0,0,10225,65,0,92,     ,5,0,0,0,0,0,153
260,20230102,2023,1,2,21,230,20,20,40,52,     ,45,0,0,0,0,10231,62,0,95,     ,5,0,0,0,0,0,141.67
260,20230102,2023,1,2,22,230,20,20,40,49,     ,38,0,0,0,0,10238,65,0,92,     ,5,0,0,0,0,0,134.91
260,20230102,2023,1,2,23,230,20,20,40,52,     ,35,0,0,0,0,10246,70,6,88,     ,5,0,0,0,0,0,124.22
260,20230102,2023,1,2,24,240,20,20,40,45,19,28,0,0,0,0,10250,70,3,88,     ,5,0,0,0,0,0,130.01
260,20230103,2023,1,3,1,220,20,20,40,48,     ,34,0,0,0,0,10254,70,8,90,     ,5,0,0,0,0,0,120
